gurakoro,154,406,9.8,21.4,43.8,596,175,59,98,0.7,22,0.09,0.18,0.9,4,28,2,1.5
demicheese_gurakoro,180,482,13.6,26.5,47.5,846,244,151,187,0.8,76,0.14,0.25,1.1,4,42,2.3,2.1
chikentatsuta,166,389,18.3,17,40.7,900,307,38,196,0.9,8,0.14,0.15,7.6,10,36,2,2.3
chikentatsuta_wafuu,186,417,18.7,17.4,46.3,1208,331,42,203,0.9,8,0.15,0.15,7.7,11,36,2.2,3.1
vegi_chickenburger,171,293,15.2,10.1,35.6,766,340,70,242,1,101,0.17,0.12,5.9,9,29,2.9,1.9
mogumogumac,120,276,13.8,8.8,35.5,658,252,56,214,0.9,80,0.15,0.11,5.4,4,29,1.9,1.7
teriyakimacburger,164,519,15.4,32.7,41,784,269,53,153,1.2,24,0.26,0.13,3.9,1,50,1.7,2
doublecheeseburger,178,463,27.4,25.2,31.6,1493,388,216,332,1.9,117,0.12,0.29,4.5,2,80,2,3.8
chickenfireo,192,458,20.2,19.8,49.6,1155,341,39,313,1,10,0.19,0.11,8.3,2,41,2.4,3
baconlettuceburger,143,393,18.3,20.9,33.1,944,241,123,214,1.2,63,0.12,0.17,3.1,1,49,1.8,2.4
bigmac,225,530,27.1,28.2,41.9,1328,404,144,289,2.2,81,0.16,0.25,4.8,2,75,2.9,3.4
ebifireo,179,391,12.5,17.6,45.6,850,112,63,97,0.7,8,0.09,0.05,1.1,1,65,2.1,2.2
quarterpounderchees,213,552,33.5,29.8,37.6,1338,477,224,372,2.4,121,0.15,0.33,5.9,3,96,2.4,3.5
doublequarterpoundercheese,305,828,49.3,53.1,38,1467,674,225,505,4.1,184,0.19,0.46,9,18,187,2.2,3.7
eggcheeseburger,173,389,22.4,19.2,31,1005,311,146,280,2.1,137,0.12,0.38,2.7,2,250,1.7,2.6
bbqpokeburger,161,457,17.5,27.7,34.4,957,281,143,218,1.1,66,0.26,0.19,3.9,1,55,1.8,2.4
hamlettuceburger,139,298,13.1,13.8,30.6,743,221,123,203,1,68,0.19,0.13,2.8,5,29,2.2,1.9
cheeseburger,122,310,16.2,13.5,30.8,933,246,120,190,1.2,62,0.09,0.16,2.7,2,40,1.7,2.4
hamburger,108,260,13.3,9.6,30.2,727,223,31,114,1.1,16,0.09,0.1,2.7,2,28,1.6,1.9
chickencrisp,128,358,12.8,17.4,37.4,792,199,33,213,0.8,17,0.14,0.09,5.3,0,31,1.8,2
megamac,300,776,41.1,47.8,45.3,1464,571,146,398,3.8,129,0.22,0.36,7.8,15,150,2.7,3.7
vegichickenmuffin,134,285,14.6,11.1,31.7,683,254,129,221,0.9,83,0.2,0.15,5.8,5,29,2.2,1.7
bigbreakfast_includes_hashedpotato,241,617,23.4,39,41.7,982,469,160,321,2.9,148,0.37,0.56,4.1,10,421,2.6,2.5
bigbreakfastdx_includes_hashedpotato,376,922,31.3,47.9,89.9,1601,684,236,665,5,163,0.69,0.86,7.6,10,444,4.3,4.1
chickeneggmuffin,200,515,23.1,28.7,39.8,1151,332,177,383,1.8,140,0.22,0.38,5.8,2,254,2.5,3
chickencrispmuffin,133,374,13.9,19.2,36.3,751,210,62,215,0.9,17,0.18,0.1,5.6,0,32,2.3,1.9
sausageeggmuffin,162,467,21.3,30.2,26.6,759,241,182,271,1.9,130,0.26,0.39,3.1,0,254,1.8,2
macgriddlesausageegg,197,549,19.5,33.3,42.7,1249,254,194,538,2.9,129,0.34,0.48,4.3,0,252,1.7,3.2
megamuffin,223,702,30.2,50.7,30.2,1296,427,198,361,2.6,146,0.44,0.48,5.9,2,294,2,3.3
hotcake,135,305,8,8.9,48.2,618,215,76,344,2.1,15,0.32,0.3,3.5,0,23,1.8,1.6
eggmacmuffin,138,310,19.4,13.5,26.7,663,186,168,267,1.6,121,0.22,0.35,2.7,0,232,1.8,1.7
macgriddlebaconegg,164,416,16.2,20.1,42.5,1082,179,174,497,2.5,121,0.23,0.42,3,0,231,1.8,2.8
sausagemuffin,111,388,15.1,24.6,26.5,687,176,156,181,1,55,0.23,0.17,3.1,0,44,1.8,1.8
macgriddlesausage,133,420,10.4,23.8,41.9,971,167,79,372,2,9,0.3,0.2,4.2,0,30,1.6,2.5
fireofish,139,341,15.6,14.6,36.6,554,200,76,168,0.5,29,0.1,0.09,1.4,0,39,1.6,1.4
strawberryjam,14,39,0,0,9.7,4,6,1,1,0,0,0,0,0,0,0,0.1,0
salt_peper,1,1,0,0,0.1,254,2,1,0,0,0,0,0,0,0,0,0,0.6
butterpad,8,60,0,6.6,0,40,0,1,2,0,100,0,0,0,0,17,0,0.1
smile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
