ホットケーキシロップ,41,121,0,0,30.3,1,0,0,1,0,0,0,0,0,0,0,0.2,0
マックフルーリー ガトーショコラ,160,282,6.2,8.2,45.9,137,328,183,190,0.8,83,0.06,0.26,0.3,0,27,1.1,0.3
クラシックフライ バーベキュー&チェダーチーズソース,155,470,5.9,25.1,55.3,699,967,38,216,1.1,12,0.22,0.04,4,36,11,5.1,1.8
マックフライポテト(S),74,249,2.9,13.2,29.5,102,479,7,95,0.6,0,0.13,0.01,2.3,5,4,2.7,0.3
マックフライポテト(M),135,454,5.3,24.2,53.7,222,874,13,174,1.2,0,0.23,0.03,4.3,9,8,4.9,0.6
マックフライポテト(L),171,571,6.6,30.4,67.7,312,1101,16,219,1.5,0,0.29,0.03,5.4,12,10,6.1,0.8
チキンマックナゲット 15ピース,300,840,43.2,56.7,39.3,1512,747,27,783,1.6,42,0.48,0.3,22,6,156,2.1,3.8
シャカチキ(チキンのみ),94,227,14.7,10.7,17.9,657,248,9,254,0.5,3,0.12,0.08,7.4,1,37,0.8,1.7
シャカチキ レッドペッパー,96,233,14.8,10.8,19.1,735,255,13,256,0.5,9,0.23,0.08,7.5,1,37,0.9,1.9
シャカチキ チェダーチーズ,96,235,15.2,11,18.8,801,254,37,278,0.5,7,0.13,0.09,7.6,1,37,0.9,2
マックフルーリー オレオ(R)クッキー,137,211,5.8,6.2,32.8,157,263,179,177,1.1,69,0.06,0.25,0.3,0,17,0.7,0.4
コーヒー マックフロート,442,109,3.4,2.8,17.4,63,256,106,110,0,40,0.03,0.16,1.5,0,10,0.2,0.2
コーク(R) マックフロート,411,191,3.1,2.8,38.4,66,141,106,130,0,40,0.03,0.14,0.1,0,-,-,0.2
ソフトツイスト,96,142,4.2,3.5,23.4,94,177,125,123,0,48,0.04,0.17,0.2,0,12,0.4,0.2
サンデー ストロベリー,144,192,5,4.5,33,120,249,173,160,0,64,0.05,0.23,0.2,2,16,0.7,0.3
サンデー チョコレート,142,234,5.5,6.1,39.6,100,274,167,170,0.4,64,0.05,0.23,0.2,0,16,1.1,0.3
シェアポテト,341,1142,13.3,60.9,135.3,623,2201,33,439,2.9,0,0.58,0.07,10.7,24,20,12.2,1.6
ハッシュポテト,51,146,1.2,9,14.9,270,194,3,46,0.3,0,0.04,0.02,0.7,8,3,1.3,0.7
三角チョコパイ,62,310,4.1,20.5,27.2,175,165,30,63,1.5,9,0.03,0.05,0.5,0,5,1.8,0.4
コーンクリームスープ,160,115,2,5.3,14.7,468,115,13,50,0,8,0.02,0.04,0.8,1,1,1.1,1.2
ミネストローネ,160,66,2.1,0.8,12.5,589,222,19,40,0.4,66,0.03,0.06,1.3,2,0,1.6,1.5
チキンマックナゲット 5ピース,100,280,14.4,18.9,13.1,504,249,9,261,0.5,14,0.16,0.1,7.3,2,52,0.7,1.3
サイドサラダ,65,10,0.5,0.1,2.3,1,137,13,16,0.2,27,0.03,0.02,0.2,15,0,0.8,0
スイートコーン,80,56,1.8,1,10.2,109,131,1,45,0.2,3,0.02,0.06,1.4,6,0,1.7,0.3
ホットアップルパイ,81,211,1.7,10.9,26.3,220,42,5,17,0.3,0,0.02,0,0.2,0,3,0.8,0.6
プチパンケーキ,56,134,3.4,3.5,22.4,250,92,41,154,1,6,0.15,0.12,1.3,0,11,0.8,0.6
スジャータアイスバニラ,109,275,5,18.9,21.1,55,191,134,140,0.3,255,0.05,0.24,0.2,0,116,0.2,0.1
バーベキューソース,20,33,0.2,0.1,7.6,169,39,2,5,0.1,3,0.01,0.01,0.2,1,0,0.2,0.4
マスタードソース,20,47,0.4,2.8,4.9,170,14,4,9,0.1,1,0.01,0,0.1,0,3,0.3,0.4
焙煎ごまドレッシング,20,107,0.5,10.6,2.4,213,18,9,11,0.1,0,0,0.01,0.1,0,1,0.1,0.5
低カロリー玉ねぎ,20,6,0.4,0,0.9,452,28,2,10,0.1,0,0,0.01,0.2,0,0,0.1,1.1
りんご&クリーム,8,31,0.1,1.4,4.4,2,7,4,4,0,1,0,0.01,0,5,0,0,0
